year,bikes_count,docks_count,name
2010,1,20,"St. Luke's Church, Chelsea"
2010,2,19,"Tavistock Place, Bloomsbury"
,2,19,"Driffield Road, Old Ford"
2013,2,20,"Princedale Road , Holland Park"
2014,2,20,"Hurlingham Park, Parsons Green"
2010,3,22,"Baker Street, Marylebone"
2010,3,20,"Tysoe Street, Clerkenwell"
2013,4,22,"Hawley Crescent, Camden Town"
2013,5,25,"Charlotte Terrace, Angel"
,5,22,"Brandon Street, Walworth"
2010,6,25,"Ashley Place, Victoria"
2010,6,24,"Wellington Street , Strand"
2013,6,24,"Woodstock Grove, Shepherd's Bush"
2012,7,24,"Cantrell Road, Bow"
,7,24,"Russell Gardens, Olympia"
2013,8,25,"Upper Richmond Road, Putney"
2019,9,27,"Westminster Pier, Westminster"
,11,30,"Pitfield Street Central, Hoxton"
,12,29,"Seymour Place, Marylebone"
2013,12,29,"Broomhouse Lane, Parsons Green"
2016,12,30,"Sopwith Way, Battersea Park"
2013,13,30,"Ingrave Street, Clapham Junction"
2013,14,32,"Vereker Road, West Kensington"
2013,14,32,"Neville Gill Close, Wandsworth"
2014,15,33,"Little Brook Green, Brook Green"
2016,17,36,"Westferry Circus, Canary Wharf"
2014,18,35,"Binfield Road, Stockwell"
2010,0,19,"Torrens Street, Angel"
2010,0,18,"Gloucester Road (North), Kensington"
2010,0,19,"Barbican Centre, Barbican"
2014,0,21,"Storey's Gate, Westminster"
2010,1,19,"Great Titchfield Street, Fitzrovia"
2010,2,21,"Longford Street, The Regent's Park"
2010,3,23,"Norton Folgate, Liverpool Street"
2010,3,23,"Craven Street, Strand"
,3,21,"New Fetter Lane, Holborn"
2013,4,22,"Blenheim Crescent, Ladbroke Grove"
2010,5,24,"Liverpool Road (N1 Centre), Angel"
2014,5,24,"Page Street, Westminster"
2010,6,24,"Foley Street, Fitzrovia"
2014,6,24,"Grenfell Road, Avondale"
2014,6,25,"Ram Street, Wandsworth"
2013,8,28,"Alma Road, Wandsworth"
2013,8,26,"Sirdar Road, Avondale"
2016,9,28,"Cromer Street, Bloomsbury"
2016,9,29,"Lavington Street, Bankside"
2016,13,34,"East Village, Queen Elizabeth Olympic Park"
2010,14,34,"Elizabeth Bridge, Victoria"
2012,14,36,"Upper Bank Street, Canary Wharf"
,15,36,"Greenland Road, Camden Town"
2014,19,37,"Clapham Common North Side, Clapham Common"
2012,26,45,"Eagle Wharf Road, Hoxton"
2010,0,21,"Little Argyll Street, West End"
2010,0,19,"Argyll Road, Kensington"
2011,0,21,"Imperial College, Knightsbridge"
2012,0,19,"Fore Street Avenue, Guildhall"
2010,1,21,"Bruton Street, Mayfair"
2013,1,20,"Putney Rail Station, Putney"
2010,2,21,"Queen's Gate, Kensington Gardens"
2012,2,21,"Bury Place, Holborn"
