year,start_station_name,num_rides
2015,"Queen Marys, Mile End",4171
2015,"Queen Mother Sports Centre, Victoria",17815
2015,"Queen Street 1, Bank",27553
2015,"Queen Street 2, Bank",19007
2015,"Queen Street, Bank",11328
2015,"Queen Victoria Street, St. Paul's",18327
2015,"Queen's Circus, Battersea Park",22194
2015,"Queen's Gate (Central), South Kensington",10590
2015,"Queen's Gate (North), Kensington",9735
2015,"Queen's Gate (South), South Kensington",13114
2015,"Queen's Gate, Kensington Gardens",27457
2015,"Queensbridge Road, Haggerston",7741
2015,"Queensdale Road, Shepherd's Bush",1647
2015,"Rainville Road, Hammersmith",10672
2015,"Ram Street, Wandsworth",6622
2015,"Rampayne Street, Pimlico",16386
2015,"Ranelagh Gardens, Fulham",5336
2015,"Rathbone Street, Fitzrovia",10250
2015,"Ravenscourt Park Station, Hammersmith",6873
2015,"Reardon Street, Wapping",11417
2015,"Rectory Square, Stepney",8253
2015,"Red Lion Square, Holborn",13109
2015,"Red Lion Street, Holborn",26704
2015,"Regency Street, Westminster",9986
2015,"Regent's Row , Haggerston",40275
2015,"Richmond Way, Shepherd's Bush",8149
2015,"Rifle Place, Avondale",3954
2015,"Risinghill Street, Angel",8136
2015,"River Street , Clerkenwell",8279
2015,"Riverlight North, Nine Elms",5092
2015,"Rochester Row, Westminster",8499
2015,"Rodney Road , Walworth",11623
2015,"Rodney Street, Angel",5628
2015,"Roscoe Street, St. Luke's",13537
2015,"Rossmore Road, Marylebone",7340
2015,"Royal Avenue 1, Chelsea",9212
2015,"Royal Avenue 2, Chelsea",10104
2015,"Royal College Street, Camden Town",12506
2015,"Royal London Hospital, Whitechapel",13790
2015,"Russell Gardens, Holland Park",1463
2015,"Russell Gardens, Olympia",3566
2015,"Russell Square Station, Bloomsbury",21388
2015,"Sackville Street, Mayfair",14053
2015,"Sadlers Sports Centre, Finsbury",18226
2015,"Sail Street, Vauxhall",6455
2015,"Salmon Lane, Limehouse",9345
2015,"Sancroft Street, Vauxhall",7519
2015,"Sandilands Road, Walham Green",9045
2015,"Santos Road, Wandsworth",2102
2015,"Sardinia Street, Holborn",13882
2015,"Saunders Ness Road, Cubitt Town",11065
2015,"Scala Street, Fitzrovia",10933
2015,"Sedding Street, Sloane Square",18194
2015,"Selby Street, Whitechapel",4903
2015,"Serpentine Car Park, Hyde Park",31747
2015,"Seville Street, Knightsbridge",15824
2015,"Seymour Place, Marylebone",9803
2015,"Shadwell Station, Shadwell",14009
2015,"Sheepcote Lane, Battersea",5929
2015,"Shepherd's Bush Road North, Shepherd's Bush",7103
2015,"Shoreditch Court, Haggerston",9154
2015,"Shoreditch High Street, Shoreditch",34747
2015,"Shoreditch Park, Hoxton",18163
2015,"Shouldham Street, Marylebone",10127
2015,"Sidney Street, Stepney",2261
2015,"Silverthorne Road, Battersea",8142
2015,"Simpson Street, Battersea",2585
2015,"Simpson Street, Clapham Junction",7654
2015,"Sirdar Road, Avondale",2575
2015,"Sloane Avenue, Knightsbridge",15574
2015,"Smith Square, Westminster",12596
2015,"Smugglers Way, Wandsworth",5354
2015,"Snow Hill, Farringdon",16265
2015,"Snowsfields, London Bridge",11487
2015,"Soho Square , Soho",31627
2015,"Somerset House, Strand",9281
2015,"South Audley Street, Mayfair",5932
2015,"South Kensington Station, South Kensington",35138
2015,"South Lambeth Road, Vauxhall",7659
2015,"South Parade, Chelsea",6227
2015,"South Park, Sands End",9384
2015,"South Quay East, Canary Wharf",777
2015,"South Quay West, Canary Wharf",685
2015,"South Wharf Road, Paddington",20281
2015,"Southampton Place, Holborn",15800
2015,"Southampton Street, Strand",19936
2015,"Southern Grove, Bow",6152
2015,"Southerton Road, Hammersmith",6208
2015,"Southwark Station 1, Southwark",10242
2015,"Southwark Station 2, Southwark",19244
2015,"Southwick Street, Paddington",11624
2015,"Spanish Road, Clapham Junction",1994
